month,year,import_val,export_val,import_growth,export_growth
1,2020,17708435634,20660683357,0,0
2,2020,14929160732,17919125698,-15.69463819,-13.26944328
3,2020,15997042595,18673746739,7.152993274,4.21126038
4,2020,15925744732,14903777865,-0.445694025,-20.1886045
5,2020,12192632413,14464232965,-23.44073939,-2.949218004
6,2020,14732337527,19391005642,20.82983418,34.06176248
7,2020,15802624186,21727198217,7.264880112,12.04781546
8,2020,15741079182,19270049092,-0.389460657,-11.30909333
9,2020,16128763373,21416199022,2.462881906,11.13723125
10,2020,16594970954,21959136607,2.89053519,2.535172485
11,2020,16433443159,20594282739,-0.973353888,-6.215425918
12,2020,18516545123,23630012607,12.67599215,14.74064383
1,2021,18087239840,22201593815,-2.318495595,-6.044934532
2,2021,17225506150,21645833812,-4.764318368,-2.50324372
3,2021,19659039426,25550241485,14.12749939,18.03768664
4,2021,20665705326,25602930902,5.12062608,0.206218861
5,2021,19032663373,22365274011,-7.902183483,-12.64564945
6,2021,20125874507,25511993985,5.743868383,14.06966878
7,2021,19899966048,23179972878,-1.122477728,-9.140881377
8,2021,17567966025,22635196731,-11.71861307,-2.350201831
9,2021,20327360344,26602315587,15.70696525,17.52632815
10,2021,21166053293,27484497597,4.125931428,3.316185041
11,2021,22306218063,26841697499,5.386761312,-2.338773324
12,2021,22055290958,29417210195,-1.124919986,9.595193061
1,2022,22158763802,26513140320,0.469152024,-9.872009806
2,2022,19720786832,24295199502,-11.00231489,-8.365439896
3,2022,25052961704,31302347743,27.03834749,28.84169871
4,2022,24399312089,29879114230,-2.609071226,-4.546730886
5,2022,24584067110,27504213860,0.757214057,-7.948362698
6,2022,27511086473,32778910835,11.90616406,19.17777764
7,2022,26676500011,30248619704,-3.033636868,-7.719265426
8,2022,27815547732,31689028853,4.269854443,4.761900421
9,2022,24730210545,31741241394,-11.0921317,0.164765355
10,2022,24173925316,28109621945,-2.249415661,-11.44132772
11,2022,23333870357,28054969709,-3.475045728,-0.194425368
12,2022,23469425223,29813973458,0.580936055,6.269847258
1,2023,21833804442,26023385626,-6.96915568,-12.71413164
2,2023,21175488872,25649485756,-3.015120758,-1.436784112
3,2023,23056960604,29034584439,8.885139528,13.19753041
4,2023,20928698259,23784793127,-9.230454879,-18.08116566
5,2023,22953065598,26424797097,9.672686347,11.09954565
6,2023,21236257600,26750776509,-7.479645761,1.233611788
7,2023,21638216612,25414967387,1.892795895,-4.993534007
8,2023,21233995637,24962718043,-1.868088217,-1.779460651
9,2023,21355558920,26564951362,0.57249368,6.418505053
10,2023,23874849578,26588711828,11.79688468,0.089442912
11,2023,23353729991,25968466996,-2.182713593,-2.332737426
12,2023,22889961726,25424670310,-1.985842369,-2.094065414
