month,year,Attribute,Value
1,2020,import,0
1,2020,export,0
2,2020,import,-15.69463819
2,2020,export,-13.26944328
3,2020,import,7.152993274
3,2020,export,4.21126038
4,2020,import,-0.445694025
4,2020,export,-20.1886045
5,2020,import,-23.44073939
5,2020,export,-2.949218004
6,2020,import,20.82983418
6,2020,export,34.06176248
7,2020,import,7.264880112
7,2020,export,12.04781546
8,2020,import,-0.389460657
8,2020,export,-11.30909333
9,2020,import,2.462881906
9,2020,export,11.13723125
10,2020,import,2.89053519
10,2020,export,2.535172485
11,2020,import,-0.973353888
11,2020,export,-6.215425918
12,2020,import,12.67599215
12,2020,export,14.74064383
1,2021,import,-2.318495595
1,2021,export,-6.044934532
2,2021,import,-4.764318368
2,2021,export,-2.50324372
3,2021,import,14.12749939
3,2021,export,18.03768664
4,2021,import,5.12062608
4,2021,export,0.206218861
5,2021,import,-7.902183483
5,2021,export,-12.64564945
6,2021,import,5.743868383
6,2021,export,14.06966878
7,2021,import,-1.122477728
7,2021,export,-9.140881377
8,2021,import,-11.71861307
8,2021,export,-2.350201831
9,2021,import,15.70696525
9,2021,export,17.52632815
10,2021,import,4.125931428
10,2021,export,3.316185041
11,2021,import,5.386761312
11,2021,export,-2.338773324
12,2021,import,-1.124919986
12,2021,export,9.595193061
1,2022,import,0.469152024
1,2022,export,-9.872009806
2,2022,import,-11.00231489
2,2022,export,-8.365439896
3,2022,import,27.03834749
3,2022,export,28.84169871
4,2022,import,-2.609071226
4,2022,export,-4.546730886
5,2022,import,0.757214057
5,2022,export,-7.948362698
6,2022,import,11.90616406
6,2022,export,19.17777764
7,2022,import,-3.033636868
7,2022,export,-7.719265426
8,2022,import,4.269854443
8,2022,export,4.761900421
9,2022,import,-11.0921317
9,2022,export,0.164765355
10,2022,import,-2.249415661
10,2022,export,-11.44132772
11,2022,import,-3.475045728
11,2022,export,-0.194425368
12,2022,import,0.580936055
12,2022,export,6.269847258
1,2023,import,-6.96915568
1,2023,export,-12.71413164
2,2023,import,-3.015120758
2,2023,export,-1.436784112
3,2023,import,8.885139528
3,2023,export,13.19753041
4,2023,import,-9.230454879
4,2023,export,-18.08116566
5,2023,import,9.672686347
5,2023,export,11.09954565
6,2023,import,-7.479645761
6,2023,export,1.233611788
7,2023,import,1.892795895
7,2023,export,-4.993534007
8,2023,import,-1.868088217
8,2023,export,-1.779460651
9,2023,import,0.57249368
9,2023,export,6.418505053
10,2023,import,11.79688468
10,2023,export,0.089442912
11,2023,import,-2.182713593
11,2023,export,-2.332737426
12,2023,import,-1.985842369
12,2023,export,-2.094065414
